5 0 1 81.661 652.072 2970 7954.1 47572 16848 1500 false
5 1 2 8.75 66.7701 360 463.812 55842 29817 1500 false
5 2 3 0 0 0 121.609 46663 11072 1500 false
5 3 4 0 0 0 84.8438 49885 6995 1500 false
5 4 5 0 0 0 45.25 45602 7416 1500 false
5 5 6 0 0 0 50.9062 47760 10451 1500 false
5 6 7 1.25 9.58202 0 48.0781 54769 20559 1500 false
5 7 8 0 0 0 50.9062 45085 12247 1500 false
5 8 9 0 0 0 53.7344 47007 13446 1500 false
5 9 10 0 0 0 36.7656 42861 13604 1500 false
5 10 11 0 0 0 42.4219 39774 8414 1500 false
5 11 12 0 0 2 33.9375 56411 25442 1500 false
5 12 13 0 0 0 36.7656 61529 32941 1500 false
5 13 14 0 0 0 36.7656 46868 18072 1500 false
5 14 15 0 0 0 45.25 47647 23727 1500 false
5 15 16 1.25 9.93153 0 48.0781 56094 24850 1500 false
5 16 17 0 0 0 33.9375 53000 20162 1500 false
5 17 18 0 0 0 39.5938 56947 23583 1500 false
5 18 19 0 0 0 39.5938 42273 8988 1500 false
5 19 20 0 0 0 48.0781 42387 18753 1500 false
5 20 21 0 0 0 45.25 67503 42943 1500 false
5 21 22 0 0 0 36.7656 43013 11056 1500 false
5 22 23 0 0 0 39.5938 58129 25448 1500 false
5 23 24 0 0 0 28.2812 62336 29382 1500 false
5 24 25 0 0 0 42.4219 48268 26536 1500 false
5 25 26 1.25 9.91204 0 39.5938 47471 18184 1500 false
5 26 27 0 0 0 50.9062 52393 31222 1500 false
5 27 28 0 0 0 39.5938 55081 21122 1500 false
5 28 29 0 0 0 36.7656 53723 24679 1500 false
5 29 30 0 0 0 33.9375 56577 15580 1500 false
