1 534
2 338
3 258
4 322
5 366
6 201
7 201
8 267
9 201
10 355
11 267
12 205
13 202
14 210
15 218
16 201
17 241
18 200
19 200
20 241
21 227
22 201
23 201
24 202
25 202
26 206
27 202
28 202
29 238
30 203
31 412
32 290
33 224
34 210
35 288
36 203
37 201
38 215
39 382
40 214
41 219
42 200
43 217
44 217
45 201
46 200
47 248
48 252
49 307
50 428
51 201
52 207
53 217
54 200
55 203
56 200
57 201
58 202
59 200
60 201
61 201
62 201
63 209
64 201
65 201
66 201
67 251
68 203
69 314
70 201
71 284
72 207
73 200
74 201
75 201
76 215
77 243
78 385
79 202
80 240
81 201
82 200
83 201
84 202
85 310
86 201
87 201
88 201
89 201
90 211
91 232
92 201
93 237
94 201
95 201
96 414
97 203
98 209
99 201
100 200
