5 0 1 111.151 889.132 3749 5581.3 47374 30 1500 false
5 1 2 115 919.931 0 5611 47895 151 1500 false
5 2 3 113.75 909.97 0 5640.7 47965 163 1500 false
5 3 4 113.75 909.777 0 5668.98 48485 187 1500 false
5 4 5 113.75 910.345 0 5698.67 48464 137 1500 false
5 5 6 106.25 849.879 0 5725.54 108480 17929 1500 false
5 6 7 35 279.946 2790 1440.93 43810 15227 1500 false
5 7 8 26.25 205.063 0 1462.14 58576 24382 1500 false
5 8 9 20 163.975 0 1479.11 31110 186 1500 false
5 9 10 23.75 189.971 0 1494.66 49904 4521 1500 false
5 10 11 30 240.03 0 1517.29 56881 25683 1500 false
5 11 12 37.5 300.018 0 1544.16 74245 27088 1500 false
5 12 13 36.25 289.978 0 1571.02 37483 197 1500 false
5 13 14 18.75 149.704 0 1585.16 69490 53117 1500 false
5 14 15 41.25 328.911 0 1612.03 47126 6737 1500 false
5 15 16 26.25 211.093 0 1629 30247 37 1500 false
5 16 17 31.25 250.048 0 1647.38 30267 160 1500 false
5 17 18 52.5 420.017 0 1689.8 30249 65 1500 false
5 18 19 48.75 389.82 0 1725.16 30214 32 1500 false
5 19 20 47.5 379.943 0 1760.51 57558 12512 1500 false
5 20 21 23.75 190.016 12 896.516 91318 79205 1500 false
5 21 22 18.75 149.824 0 919.141 54130 40863 1500 false
5 22 23 20 160.289 0 946.008 60520 5157 1500 false
5 23 24 20 159.735 0 968.633 36429 10634 1500 false
5 24 25 18.75 150.232 0 992.672 31615 432 1500 false
5 25 26 25 200.024 0 1022.37 91816 18108 1500 false
5 26 27 25 199.94 0 1052.06 43075 5707 1500 false
5 27 28 26.25 209.933 0 1078.93 102642 6561 1500 false
5 28 29 28.75 230.104 0 1111.45 42262 4144 1500 false
5 29 30 13.75 109.999 0 1125.59 57307 22646 1500 false
